13:42:56, Iteration_20190612_13_41_05,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.39 secs, TIME TO CONNECT: 13.77 secs, TIME TO PAIR: 8.97 secs, 
13:44:34, Iteration_20190612_13_43_00,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.23 secs, TIME TO CONNECT: 13.38 secs, TIME TO PAIR: 4.39 secs, 
13:46:09, Iteration_20190612_13_44_37,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.49 secs, TIME TO CONNECT: 9.03 secs, TIME TO PAIR: 7.76 secs, 
13:47:36, Iteration_20190612_13_46_13,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.98 secs, TIME TO CONNECT: 7.4 secs, TIME TO PAIR: 4.11 secs, 
13:49:43, Iteration_20190612_13_48_02,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.63 secs, TIME TO CONNECT: 16.14 secs, TIME TO PAIR: 9.31 secs, 
13:51:25, Iteration_20190612_13_49_46,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.6 secs, TIME TO CONNECT: 15.41 secs, TIME TO PAIR: 5.07 secs, 
13:54:39, Iteration_20190612_13_51_29,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 7.45 secs, TIME TO CONNECT: 105.63 secs, TIME TO PAIR: 4.23 secs, 
13:56:10, Iteration_20190612_13_54_43,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.12 secs, TIME TO CONNECT: 10.2 secs, TIME TO PAIR: 1.64 secs, 
13:57:37, Iteration_20190612_13_56_14,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.27 secs, TIME TO CONNECT: 8.1 secs, TIME TO PAIR: 4.1 secs, 
13:59:10, Iteration_20190612_13_57_41,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.91 secs, TIME TO CONNECT: 16.04 secs, TIME TO PAIR: 3.5 secs, 
14:00:46, Iteration_20190612_13_59_14,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.16 secs, TIME TO CONNECT: 9.21 secs, TIME TO PAIR: 7.01 secs, 
14:02:27, Iteration_20190612_14_00_50,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.84 secs, TIME TO CONNECT: 12.86 secs, TIME TO PAIR: 6.89 secs, 
14:04:16, Iteration_20190612_14_02_31,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 8.36 secs, TIME TO CONNECT: 16.14 secs, TIME TO PAIR: 3.73 secs, 
14:05:56, Iteration_20190612_14_04_20,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.99 secs, TIME TO CONNECT: 12.36 secs, TIME TO PAIR: 5.22 secs, 
14:07:31, Iteration_20190612_14_06_00,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.19 secs, TIME TO CONNECT: 8.11 secs, TIME TO PAIR: 5.24 secs, 
14:09:08, Iteration_20190612_14_07_34,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.96 secs, TIME TO CONNECT: 14.06 secs, TIME TO PAIR: 4.95 secs, 
14:10:39, Iteration_20190612_14_09_11,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.19 secs, TIME TO CONNECT: 5.89 secs, TIME TO PAIR: 6.99 secs, 
14:12:19, Iteration_20190612_14_10_42,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 10.61 secs, TIME TO CONNECT: 9.43 secs, TIME TO PAIR: 3.94 secs, 
14:15:07, Iteration_20190612_14_12_22,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 15.99 secs, TIME TO CONNECT: 7.0 secs, TIME TO PAIR: 70.35 secs, 
14:16:53, Iteration_20190612_14_15_11,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.44 secs, TIME TO CONNECT: 19.25 secs, TIME TO PAIR: 3.85 secs, 
14:18:33, Iteration_20190612_14_16_56,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.68 secs, TIME TO CONNECT: 7.27 secs, TIME TO PAIR: 8.86 secs, 
14:21:14, Iteration_20190612_14_18_37,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.68 secs, TIME TO CONNECT: 10.68 secs, TIME TO PAIR: 71.17 secs, 
14:22:52, Iteration_20190612_14_21_17,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.58 secs, TIME TO CONNECT: 10.63 secs, TIME TO PAIR: 1.71 secs, 
14:24:24, Iteration_20190612_14_22_56,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.95 secs, TIME TO CONNECT: 9.46 secs, TIME TO PAIR: 3.82 secs, 
14:25:54, Iteration_20190612_14_24_27,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.17 secs, TIME TO CONNECT: 12.64 secs, TIME TO PAIR: 3.0 secs, 
14:27:25, Iteration_20190612_14_25_57,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.89 secs, TIME TO CONNECT: 7.96 secs, TIME TO PAIR: 3.74 secs, 
14:29:03, Iteration_20190612_14_27_29,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.95 secs, TIME TO CONNECT: 10.1 secs, TIME TO PAIR: 4.98 secs, 
14:30:49, Iteration_20190612_14_29_07,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.16 secs, TIME TO CONNECT: 14.5 secs, TIME TO PAIR: 7.45 secs, 
14:32:37, Iteration_20190612_14_30_53,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.98 secs, TIME TO CONNECT: 17.57 secs, TIME TO PAIR: 3.88 secs, 
